,position,release_name,artist_name,release_date,release_type,primary_genres,secondary_genres,descriptors,avg_rating,rating_count,review_count
203,203,Forever Changes,Love,1967-11-01,album,"Psychedelic Pop, Psychedelic Rock, Psychedelic Folk",Baroque Pop,"psychedelic, philosophical, melodic, existential, bittersweet, introspective, warm, summer, conscious, poetic",4.01,18863,533
3185,3185,A Passion Play,Jethro Tull,1973-07-06,album,Progressive Rock,"Folk Rock, Symphonic Prog, Rock Opera","conceptalbum, progressive, complex, malevocals, poetic, epic, death, suite, playful",3.54,3253,121
988,988,Sad Wings of Destiny,Judas Priest,1976-03-23,album,Heavy Metal,Hard Rock,"malevocals, melodic, energetic, dark, progressive, heavy, fantasy, apocalyptic, eclectic, anthemic",3.89,7924,198
2197,2197,The Hissing of Summer Lawns,Joni Mitchell,1975-11-01,album,"Singer-Songwriter, Jazz Pop","Folk Pop, Soft Rock, Art Pop","poetic, lush, melodic, femalevocals, mellow, warm, summer, complex, soft, melancholic",3.84,4385,96
1396,1396,Source Tags & Codes,...And You Will Know Us by the Trail of Dead,2002-02-26,album,"Indie Rock, Post-Hardcore","Art Rock, Noise Rock","energetic, anxious, noisy, aggressive, apocalyptic, passionate, malevocals, epic, melancholic, chaotic",3.66,6294,159
4514,4514,Revenge of the Dreamers III,Dreamville,2019-07-05,album,Hip Hop,"Trap, Conscious Hip Hop, Pop Rap, Contemporary R&B","eclectic, malevocals, femalevocals, party",2.9,2407,23
2547,2547,Murmuüre,Murmuüre,2010-03-01,album,"Atmospheric Black Metal, Ambient, Avant-Garde Metal","Electronic, Industrial, Experimental","noisy, atmospheric, surreal, occult, psychedelic, mysterious, dissonant, sombre, lo-fi, hypnotic",3.76,3914,41
1847,1847,Finally We Are No One,múm,2002-05-20,album,"Indietronica, Folktronica","Glitch Pop, Dream Pop, Ambient Pop, Post-Rock, Folktronica","atmospheric, soothing, peaceful, soft, lethargic, mellow, nature, bittersweet, melancholic, winter",3.64,5090,59
668,668,13,Blur,1999-03-15,album,"Alternative Rock, Art Rock, Experimental Rock","Neo-Psychedelia, Noise Rock, Trip Hop, Space Rock Revival","eclectic, melancholic, malevocals, noisy, breakup, psychedelic, atmospheric, lonely, depressive, drugs",3.75,10157,157
281,281,A Night at the Opera,Queen,1975-12-02,album,"Hard Rock, Art Rock","Glam Rock, Progressive Rock, Music Hall","melodic, malevocals, epic, eclectic, progressive, playful, triumphant, passionate, anthemic, complex",3.81,16484,429
1595,1595,Bad Witch,Nine Inch Nails,2018-06-22,album,"Experimental Rock, Industrial Rock","Noise Rock, Dark Ambient, Art Rock, Dark Jazz, Synth Punk","malevocals, noisy, atmospheric, anxious, ominous, mechanical, aggressive, rhythmic, heavy, pessimistic",3.52,5749,43
2220,2220,Cenizas,Nicolás Jaar,2020-03-27,album,"Ambient, Electronic","Electroacoustic, Ambient Pop","mysterious, atmospheric, meditative, nocturnal, malevocals, sparse, sombre, dark, lonely, cold",3.41,4350,38
2849,2849,Before the Dawn Heals Us,M83,2005-01-25,album,"Dream Pop, Electronic, Synthpop","Shoegaze, Ambient Pop","ethereal, epic, atmospheric, nocturnal, lonely, urban, melodic, mellow, malevocals",3.51,3577,55
2600,2600,Lincoln,They Might Be Giants,1988-09-25,album,"Indie Pop, Alternative Rock","Power Pop, Jangle Pop, Art Pop","humorous, bittersweet, playful, eclectic, quirky, melodic, surreal, malevocals, energetic, satirical",3.72,3849,77
3689,3689,Music From the Penguin Café,Penguin Cafe Orchestra,1976-01-01,album,Chamber Music,"Minimalism, Chamber Folk, Avant-Folk, Modern Classical, Progressive Pop","progressive, eclectic, peaceful, chambermusic, sentimental, melodic, soft, mellow, bittersweet, complex",3.67,2868,50
4042,4042,My Back Is Killing Me Baby,Car Seat Headrest,2011-10-01,album,"Lo-Fi/Slacker Rock, Noise Pop","Singer-Songwriter, Noise Pop, Indietronica","lo-fi, anxious, malevocals, bittersweet, introspective, depressive, lonely, melancholic, LGBT, sad",3.47,2644,22
4546,4546,Face the Music,Electric Light Orchestra,1975-09-01,album,"Symphonic Rock, Pop Rock, Art Rock","Progressive Pop, Progressive Rock","malevocals, lush, melodic, playful, progressive, passionate, bittersweet, orchestral, eclectic, energetic",3.67,2389,68
2175,2175,NEU! 2,NEU!,1973-01-01,album,Krautrock,"Tape Music, Turntable Music","repetitive, hypnotic, atmospheric, instrumental, mechanical, avant-garde, progressive, psychedelic, futuristic, playful",3.52,4426,76
471,471,Seventh Son of a Seventh Son,Iron Maiden,1988-04-11,album,Heavy Metal,Progressive Metal,"epic, melodic, fantasy, malevocals, energetic, progressive, conceptalbum, passionate, anthemic, philosophical",3.96,12444,274
4920,4920,Pure Phase,Spiritualized Electric Mainline,1995-03-28,album,"Neo-Psychedelia, Dream Pop, Space Rock Revival, Space Rock","Shoegaze, Drone","psychedelic, hypnotic, ethereal, space, lush, drugs, atmospheric, malevocals, mellow, calm",3.65,2205,34
3165,3165,Holy Fire,Foals,2013-02-11,album,Indie Rock,Post-Punk,"malevocals, energetic, atmospheric, bittersweet, summer, melodic, calm, nocturnal, melancholic, sentimental",3.23,3269,40
719,719,Songs From the Big Chair,Tears for Fears,1985-02-01,album,"Synthpop, New Wave, Pop Rock","Sophisti-Pop, Progressive Pop","anthemic, passionate, lush, melodic, malevocals, introspective, melancholic, bittersweet, sentimental, conscious",3.88,9738,161
4706,4706,The Practice of Love,Jenny Hval,2019-09-13,album,"Art Pop, Synthpop","Spoken Word, Ambient Pop, Ambient Trance","femalevocals, atmospheric, ethereal, rhythmic, love, cryptic, poetic, sensual, abstract, peaceful",3.46,2312,16
1983,1983,Deep Cuts,The Knife,2003-01-17,album,"Electropop, Synthpop",NA,"playful, sexual, quirky, androgynousvocals, energetic, LGBT, eclectic, party, political, melodic",3.41,4772,66
3035,3035,Exit Planet Dust,The Chemical Brothers,1995-06-26,album,Big Beat,"Downtempo, Acid Techno","repetitive, sampling, party, psychedelic, eclectic, hypnotic, atmospheric, hedonistic, energetic, rhythmic",3.54,3399,62
3932,3932,Surfing With the Alien,Joe Satriani,1987-10-15,album,Hard Rock,"Progressive Rock, Neoclassical Metal","instrumental, technical, melodic, playful, energetic, space",3.52,2715,86
1519,1519,Shadows of the Sun,Ulver,2007-10-01,album,"Ambient, Electronic, Ambient Pop","Chamber Music, Dark Ambient","atmospheric, malevocals, existential, death, nocturnal, melodic, melancholic, poetic, abstract, sombre",3.65,5914,117
53,53,Kind of Blue,Miles Davis,1959-08-17,album,"Modal Jazz, Cool Jazz",NA,"instrumental, mellow, improvisation, nocturnal, soothing, calm, acoustic, meditative",4.23,31262,556
327,327,Odelay,Beck,1996-06-18,album,"Alternative Rock, Neo-Psychedelia","Hip Hop, Lo-Fi/Slacker Rock, Electronic, Contemporary Folk, Alt-Country, Experimental Hip Hop","eclectic, playful, sampling, humorous, energetic, surreal, psychedelic, malevocals, quirky, rhythmic",3.73,15207,300
1762,1762,In Rainbows Disk 2,Radiohead,2009-06-09,album,"Art Rock, Alternative Rock","Electronic, Ambient","malevocals, atmospheric, lush, melancholic, mellow, warm, bittersweet, anxious, rhythmic, eclectic",3.54,5313,20
4397,4397,What Did You Expect From The Vaccines?,The Vaccines,2011-03-14,album,"Indie Rock, Post-Punk Revival","Power Pop, Garage Rock Revival","energetic, melodic, raw, breakup, longing, sentimental, melancholic, rhythmic, malevocals, summer",3.26,2456,52
3982,3982,Koloss,Meshuggah,2012-03-23,album,"Djent, Progressive Metal",Groove Metal,"mechanical, technical, heavy, complex, aggressive, uncommontimesignatures, repetitive, malevocals, dense, ominous",3.45,2682,51
1918,1918,Chromatica,Lady Gaga,2020-05-29,album,"Dance-Pop, Euro House","Electropop, Eurodance, Future House","energetic, playful, femalevocals, optimistic, anthemic, party, uplifting, happy, rhythmic, love",2.91,4909,79
2565,2565,Neil Young,Neil Young,1969-01-22,album,"Singer-Songwriter, Folk Rock",Country Rock,"pastoral, malevocals, warm, melodic, peaceful, introspective, psychedelic, melancholic, lonely",3.4,3890,111
4348,4348,Strawberry Switchblade,Strawberry Switchblade,1985-04-01,album,Synthpop,"Dream Pop, Twee Pop, New Romantic, Darkwave","femalevocals, bittersweet, lush, romantic, love, melodic, uplifting, ethereal, melancholic, funereal",3.6,2484,33
1347,1347,Blurryface,Twenty Øne Piløts,2015-05-18,album,"Pop Rap, Alt-Pop, Electropop","Pop Reggae, Pop Rock, Indie Pop","anxious, malevocals, eclectic, melodic, energetic, introspective, conceptalbum, melancholic, urban, existential",2.49,6425,54
3058,3058,Music of My Mind,Stevie Wonder,1972-03-03,album,"Soul, Funk","Rhythm & Blues, Psychedelic Soul","mellow, romantic, malevocals, sensual, happy, love, bittersweet, sentimental, melodic, playful",3.72,3372,65
445,445,Joy as an Act of Resistance.,Idles,2018-08-31,album,"Post-Punk, Post-Hardcore","Punk Rock, Art Punk, Noise Rock","political, aggressive, energetic, malevocals, sarcastic, rebellious, conscious, LGBT, passionate, raw",3.71,13025,112
699,699,Bone Machine,Tom Waits,1992-09-08,album,"Singer-Songwriter, Experimental Rock","Blues Rock, Gothic Country, Blues, Post-Industrial, Americana","raw, dark, nocturnal, death, ominous, manic, eclectic, malevocals, quirky, apocalyptic",3.98,9873,172
1601,1601,Is This Desire?,PJ Harvey,1998-09-28,album,"Alternative Rock, Singer-Songwriter, Downtempo","Trip Hop, Industrial Rock","sombre, dark, femalevocals, melancholic, lonely, atmospheric, cold, anxious, nocturnal, introspective",3.82,5738,94
2025,2025,Boarding House Reach,Jack White,2018-03-23,album,"Blues Rock, Experimental Rock, Art Rock","Art Rock, Singer-Songwriter, Spoken Word","quirky, eclectic, abstract, malevocals, melodic, playful, energetic, passionate, dense, surreal",3.1,4688,70
2746,2746,The Miracle,Queen,1989-05-22,album,Pop Rock,"Hard Rock, Synthpop","malevocals, melodic, playful, eclectic, uplifting, bittersweet",3.07,3678,77
4884,4884,Life's a Trip,Trippie Redd,2018-08-10,album,"Alternative R&B, Pop Rap, Emo Rap, Trap",Trap,"malevocals, melodic, bittersweet, melancholic, passionate, drugs, spring, breakup, introspective, psychedelic",2.7,2226,15
2822,2822,Joyce Manor,Joyce Manor,2011-02-08,album,"Pop Punk, Emo-Pop",Emo,"passionate, malevocals, breakup, energetic, anxious, angry, raw, aggressive, sarcastic, melodic",3.62,3609,34
240,240,Fragile,Yes,1971-11-26,album,Progressive Rock,Symphonic Prog,"epic, complex, uncommontimesignatures, technical, nature, progressive, malevocals, uplifting, lush, optimistic",3.94,17434,340
528,528,Faith,The Cure,1981-04-14,album,"Gothic Rock, Post-Punk",Coldwave,"sombre, cold, atmospheric, melancholic, anxious, ethereal, winter, sad, malevocals, funereal",3.81,11730,183
253,253,Aquemini,OutKast,1998-09-29,album,"Southern Hip Hop, Conscious Hip Hop","Neo-Soul, Funk, Experimental Hip Hop, Hardcore Hip Hop","conscious, malevocals, lush, urban, boastful, introspective, mellow, warm, rhythmic, uplifting",4.11,17087,164
2378,2378,Invisible Touch,Genesis,1986-06-24,album,Pop Rock,Progressive Pop,"love, passionate, mechanical, malevocals, melodic, dense",3.09,4152,118
2604,2604,GO:OD AM,Mac Miller,2015-09-18,album,Pop Rap,"Cloud Rap, Jazz Rap, Trap","drugs, rhythmic, malevocals, abstract, boastful, sampling, happy",3.37,3846,7
3033,3033,Modus vivendi,070 Shake,2020-01-17,album,"Alternative R&B, Pop Rap","Synthpop, Art Pop, Trap, Alt-Pop","futuristic, ethereal, femalevocals, atmospheric, melodic, LGBT, longing, lonely, cold, lush",3.14,3402,42
3065,3065,Burn My Eyes,Machine Head,1994-08-09,album,Groove Metal,Thrash Metal,"violence, angry, aggressive, heavy, rebellious, malevocals, pessimistic, anti-religious, political, hateful",3.6,3367,85
1708,1708,Luxury Problems,Andy Stott,2012-10-29,album,"Dub Techno, Ambient Dub","Ambient Techno, Industrial Techno","atmospheric, hypnotic, dark, femalevocals, cold, repetitive, sombre, rhythmic, mysterious, ominous",3.62,5425,64
3232,3232,Do You Want More?!!!??!,The Roots,1995-01-17,album,"Jazz Rap, East Coast Hip Hop","Boom Bap, Conscious Hip Hop","malevocals, rhythmic, urban, nocturnal, mellow, playful, warm, improvisation, sexual, boastful",3.67,3219,64
3955,3955,The King Is Dead,The Decemberists,2011-01-18,album,"Indie Folk, Country Rock, Americana","Folk Rock, Alt-Country","spring, summer, melodic, melancholic, malevocals",3.29,2698,104
2803,2803,Fearless,Taylor Swift,2008-11-11,album,"Country Pop, Pop Rock","Teen Pop, Singer-Songwriter, Power Pop","femalevocals, romantic, love, playful, uplifting, soft, passionate, sentimental, summer, warm",2.95,3628,59
2580,2580,The System Has Failed,Megadeth,2004-09-14,album,Heavy Metal,Thrash Metal,"angry, heavy, political, energetic, malevocals, nihilistic, anthemic, melodic",3.22,3868,156
726,726,Things Fall Apart,The Roots,1999-02-23,album,"East Coast Hip Hop, Jazz Rap","Boom Bap, Jazz Rap","urban, rhythmic, malevocals, boastful, nocturnal, raw, playful, dark, atmospheric, repetitive",3.93,9657,87
830,830,Rossz csillag alatt született,Venetian Snares,2005-03-14,album,"Breakcore, Drilland Bass, Modern Classical","Modern Classical, Romanticism","manic, uncommontimesignatures, anxious, melancholic, suspenseful, complex, orchestral, sampling, rhythmic, instrumental",3.73,8881,120
980,980,Eversince,Bladee,2016-05-25,album,"Cloud Rap, Alternative R&B, Emo Rap","Trap, Ambient Pop, Experimental Hip Hop, Drill","lonely, cold, suicide, ethereal, drugs, depressive, melancholic, self-hatred, melodic, alienation",3.51,7968,58
4641,4641,...Is a Real Boy,Say Anything,2004-08-03,album,"Pop Punk, Emo-Pop","Power Pop, Alternative Rock, Post-Hardcore","sarcastic, melodic, self-hatred, angry, playful, anxious, satirical, malevocals, anthemic, misanthropic",3.54,2344,48
3212,3212,God Has Nothing to Do With This Leave Him Out of It,Backxwash,2020-05-30,album,"Industrial Hip Hop, Horrorcore","Trap Metal, Industrial Rock, Trap","LGBT, femalevocals, heavy, sampling, aggressive, dark, occult, death, serious, atmospheric",3.5,3239,25
1727,1727,Extraordinary Machine,Fiona Apple,2005-10-04,album,"Singer-Songwriter, Piano Rock, Art Pop","Chamber Pop, Jazz Pop, Progressive Pop","femalevocals, breakup, introspective, melodic, love, lush, rhythmic, playful, warm, poetic",3.59,5382,91
1729,1729,Black Monk Time,Monks,1966-03-01,album,"Garage Rock, Proto-Punk","Beat Music, Experimental Rock, Proto-Punk","energetic, rhythmic, war, angry, protest, rebellious, malevocals, playful, manic, anxious",3.7,5379,140
790,790,宇宙 日本 世田谷 (Uchu Nippon Setagaya),Fishmans,1997-07-24,album,"Dream Pop, Downtempo, Ambient Pop","Dub, Neo-Psychedelia, Trip Hop","soothing, mellow, atmospheric, lush, peaceful, warm, playful, androgynousvocals, bittersweet, psychedelic",3.98,9209,56
4573,4573,Costello Music,The Fratellis,2006-09-11,album,"Indie Rock, Garage Rock Revival",Pub Rock,"malevocals, hedonistic, sexual, uplifting, playful, alcohol, energetic, melodic, sarcastic",3.25,2375,74
3249,3249,Black and Blue,The Rolling Stones,1976-04-23,album,"Rock, Blues Rock","Blue-Eyed Soul, Pop Reggae, Funk Rock","playful, melodic, malevocals, tropical, warm, improvisation, rhythmic",3.2,3200,113
2492,2492,Tindersticks,Tindersticks,1993-10-11,album,Chamber Pop,Indie Rock,"bittersweet, melancholic, malevocals, melodic, lush, sombre, atmospheric, passionate, mellow, autumn",3.78,3991,82
3960,3960,Johnny Cash With His Hot and Blue Guitar!,Johnny Cash,1957-10-14,album,"Rockabilly, Country",Country Gospel,"malevocals, rebellious, crime, rhythmic, Christian, melodic, love, longing, pastoral, warm",3.69,2691,34
1210,1210,Before Today,Ariel Pink's Haunted Graffiti,2010-06-08,album,"Psychedelic Pop, Hypnagogic Pop","Neo-Psychedelia, Garage Rock, Lo-Fi/Slacker Rock, Art Rock","psychedelic, lo-fi, satirical, malevocals, quirky, lush, playful, atmospheric, mellow, eclectic",3.58,6903,93
2315,2315,Empyrean Isles,Herbie Hancock,1964-12-01,album,"Hard Bop, Post-Bop","Modal Jazz, Avant-Garde Jazz","instrumental, improvisation, passionate, mellow, uncommontimesignatures, rhythmic, acoustic, energetic",3.91,4234,61
3519,3519,Post Pop Depression,Iggy Pop,2016-03-18,album,Alternative Rock,"Post-Punk, Art Rock","dark, melodic, death, malevocals",3.4,2988,39
1895,1895,Soft Sounds From Another Planet,Japanese Breakfast,2017-07-14,album,"Dream Pop, Indie Rock","Indie Pop, Neo-Psychedelia, Ambient Pop","femalevocals, lush, bittersweet, warm, soothing, melodic, romantic, mellow, atmospheric, breakup",3.47,4973,31
2145,2145,In den Gärten Pharaos,Popol Vuh,1971-01-01,album,Ambient,Tribal Ambient,"spiritual, instrumental, meditative, mysterious, tribal, hypnotic, psychedelic, ritualistic, atmospheric, ethereal",3.75,4490,52
3441,3441,30,Adele,2021-11-19,album,Pop Soul,"Adult Contemporary, Traditional Pop, Contemporary R&B, Neo-Soul","femalevocals, breakup, bittersweet, introspective, melancholic, serious, love, passionate, melodic, anxious",2.95,3045,61
3234,3234,Perfect Strangers,Deep Purple,1984-10-29,album,Hard Rock,NA,"malevocals, energetic, heavy, passionate, melodic",3.59,3218,73
3331,3331,Peter Gabriel,Peter Gabriel,1978-06-01,album,Art Rock,Progressive Rock,"manic, atmospheric, anxious, malevocals, uncommontimesignatures, melodic, progressive, sombre, suspenseful, dense",3.36,3131,74
26,26,Remain in Light,Talking Heads,1980-10-08,album,"New Wave, Post-Punk","Funk, Afrobeat, Experimental Rock, Dance-Punk","rhythmic, anxious, energetic, malevocals, playful, cryptic, abstract, repetitive, quirky, philosophical",4.25,38220,532
942,942,Scorpion,Drake,2018-06-29,album,"Pop Rap, Contemporary R&B","Trap, Alternative R&B","lethargic, malevocals, boastful, sampling, introspective, melancholic, nocturnal, urban, atmospheric, hedonistic",1.81,8181,85
2611,2611,Pod,The Breeders,1990-05-28,album,"Alternative Rock, Indie Rock",NA,"raw, femalevocals, energetic, sexual, melodic, dark, sparse, anxious, abstract, quirky",3.58,3840,88
663,663,Hypnotize,System of a Down,2005-11-22,album,Alternative Metal,Avant-Garde Metal,"manic, political, aggressive, malevocals, heavy, melodic, eclectic, angry, surreal, death",3.36,10184,153
2448,2448,How It Feels to Be Something On,Sunny Day Real Estate,1998-09-08,album,"Midwest Emo, Alternative Rock",Art Rock,"melancholic, passionate, bittersweet, sad, melodic, malevocals, depressive, atmospheric, spiritual, autumn",3.74,4042,39
4893,4893,In Between Dreams,Jack Johnson,2005-03-01,album,"Singer-Songwriter, Folk Pop, Acoustic Rock",Tropical Rock,"mellow, happy, acoustic, uplifting, melodic, summer, malevocals",3.19,2221,63
3810,3810,Anima latina,Lucio Battisti,1974-12-01,album,"Progressive Pop, Psychedelic Pop, Art Pop","Psychedelic Folk, Baroque Pop, MPB","psychedelic, warm, love, summer, lush, mellow, passionate, progressive, melodic, complex",3.83,2797,66
382,382,Charli,Charli XCX,2019-09-13,album,"Electropop, Bubblegum Bass","Synthpop, Dance-Pop, Deconstructed Club, Pop Rap, Hyperpop","femalevocals, futuristic, introspective, melodic, eclectic, party, love, quirky, bittersweet, passionate",3.58,13983,103
799,799,Safe in the Hands of Love,Yves Tumor,2018-09-05,album,"Neo-Psychedelia, Post-Industrial, Art Pop","Hypnagogic Pop, Art Pop, Trip Hop, Deconstructed Club, Experimental Rock","psychedelic, eclectic, surreal, atmospheric, dense, dark, abstract, longing, sampling, nocturnal",3.6,9101,51
1799,1799,Heritage,Opeth,2011-09-20,album,Progressive Rock,"Folk Rock, Art Rock","occult, eclectic, malevocals, atmospheric, dark, meditative, progressive, mysterious, sparse, abstract",3.11,5214,153
4794,4794,Futures,Jimmy Eat World,2004-10-19,album,Alternative Rock,"Power Pop, Emo-Pop","melodic, passionate, malevocals, nocturnal, drugs, introspective, melancholic, bittersweet, anxious, romantic",3.53,2265,48
4964,4964,Sings Reign Rebuilder,Set Fire to Flames,2001-10-09,album,"Post-Rock, Experimental Rock","Field Recordings, Ambient, Chamber Music, Free Improvisation","atmospheric, dark, lonely, instrumental, sombre, ominous, mysterious, avant-garde, nocturnal, sparse",3.48,2184,29
2294,2294,ワールドイズユアーズ (World Is Yours),Mass of the Fermenting Dregs,2009-01-21,album,"J-Rock, Post-Hardcore, Alternative Rock","Noise Rock, Shoegaze","energetic, femalevocals, bittersweet, uplifting, melodic, noisy, raw, anthemic, rhythmic",3.76,4264,12
4676,4676,Australasia,Pelican,2003-11-04,album,"Atmospheric Sludge Metal, Post-Metal",Post-Rock,"instrumental, atmospheric, heavy, sombre, dense, melodic",3.58,2327,55
907,907,Korn,Korn,1994-10-11,album,Nu Metal,"Funk Metal, Avant-Garde Metal","dark, angry, disturbing, malevocals, anxious, alienation, pessimistic, vulgar, heavy, aggressive",3.38,8394,198
147,147,Currents,Tame Impala,2015-07-17,album,"Psychedelic Pop, Synthpop, Neo-Psychedelia","Dream Pop, Alternative R&B","psychedelic, love, melodic, anxious, breakup, bittersweet, malevocals, lush, dense, warm",3.56,21406,156
4066,4066,Roots,Curtis Mayfield,1971-12-01,album,"Chicago Soul, Funk","Smooth Soul, Psychedelic Soul","uplifting, optimistic, sexual, melodic, rhythmic, political, lush, warm, conscious, sensual",3.83,2634,47
829,829,"Thank U, Next",Ariana Grande,2019-02-08,album,"Contemporary R&B, Pop","Trap, Electropop","femalevocals, bittersweet, breakup, sensual, boastful, sexual, passionate, playful, nocturnal, introspective",3.25,8886,100
2341,2341,Gentle Giant,Gentle Giant,1970-11-27,album,Progressive Rock,NA,"uncommontimesignatures, melodic, energetic, progressive, playful, medieval, complex, eclectic, malevocals, epic",3.66,4193,81
4832,4832,Music of the Spheres,Coldplay,2021-10-15,album,"Pop Rock, Pop","Synthpop, Piano Rock, Space Ambient","malevocals, uplifting, melodic, anthemic, romantic, sentimental, love, warm, passionate, happy",2.08,2249,74
3523,3523,Pink Season,Pink Guy,2017-01-04,album,"Comedy Rap, Trap, Novelty","Satire, Indie Folk, Experimental Hip Hop","vulgar, satirical, sexual, humorous, malevocals, boastful, playful, rhythmic, sarcastic, novelty",2.35,2984,50
4762,4762,"...Burn, Piano Island, Burn",The Blood Brothers,2003-03-18,album,"Post-Hardcore, Sasscore","Art Punk, Dance-Punk, Screamo","energetic, noisy, chaotic, manic, cryptic, aggressive, raw, androgynousvocals, complex, sexual",3.54,2279,52
1183,1183,This Heat,This Heat,1979-09-01,album,"Experimental Rock, Experimental","Industrial, Musiqueconcrète, Tape Music, Avant-Prog, Drone, Krautrock","cold, ominous, avant-garde, mechanical, anxious, suspenseful, dark, political, malevocals, atmospheric",3.84,6996,97
2645,2645,Good Luck,Bladee & Mechatok,2020-12-10,album,"Electropop, Dance-Pop","Bubblegum Bass, Pop Rap, Trance","rhythmic, ethereal, androgynousvocals, malevocals, mellow, playful, melodic, futuristic, optimistic, triumphant",2.85,3789,30
3794,3794,Tomorrow Is Nearly Yesterday and Everyday Is Stupid,Crywank,2013-11-07,album,"Singer-Songwriter, Anti-Folk, Indie Folk",Folk Punk,"self-hatred, introspective, lonely, depressive, acoustic, sad, anxious, minimalistic, sombre, androgynousvocals",3.1,2806,27
1795,1795,Speedin' Bullet 2 Heaven,Kid Cudi,2015-12-04,album,Alternative Rock,"Grunge, Punk Rock, Acoustic Rock, Singer-Songwriter, Lo-Fi/Slacker Rock, Experimental Rock","drugs, anxious, depressive, raw, lo-fi, repetitive, suicide, malevocals, dark, death",1.55,5225,90
